comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,llama_similarity
"""{| style=""""background-color:#F5FFFA; padding:0;"""" cellpadding=""""0""""
|class=""""MainPageBG"""" style=""""border:1px solid #084080; background-color:#F5FFFA; vertical-align:top; color:#000000; font-size:85%""""|
 Hello ! Welcome to Wikipedia! Thank you for your contributions. If you decide that you need help, check out Getting Help below, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Please remember to sign your name on talk pages by clicking  or using four tildes (~~~~); this will automatically produce your username and the date. Finally, please do your best to always fill in the edit summary field. Below are some useful links to facilitate your involvement. Happy editing!   
{| width=""""100%"""" style=""""background-color:#F5FFFA;""""
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #FFFFFF; background-color:#F5FFFA; vertical-align:top""""|
 Getting Started Wikipedia Tutorial • The five pillars of Wikipedia
 How to: edit a page • Your first article • Upload an image • Citing Sources (References) Getting Help Frequently Asked Questions
 Where to ask questions or make comments
 Request administrator attention Policies and Guidelines Neutral point of view • Reliable sources
 Verifiability • Citing sources • No original research
 What Wikipedia is not • Biographies of living persons

 Manual of Style • Three-revert rule • Sock puppetry
 Copyrights • Fair use • Image use policy
 External links • Spam • Vandalism
 Deletion policy • Conflict of interest • Notability
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #FFFFFF; background-color:#F5FFFA; vertical-align:top""""|
{| width=""""100%"""" cellpadding=""""0"""" cellspacing=""""5"""" style=""""vertical-align:top; background-color:#F5FFFA""""
! The Community
|-
|style=""""color:#000""""|
 Build consensus • Resolving disputes
 Assume good faith • Civility • Etiquette
 No personal attacks • [[Wikipedia:No legal threa",0,0,0,0,0,0,0.43356887
""" why don´t you block vandercken he made a""""personal attack"""" How many @!$%?*# times are people going to try to redesign the Main Page? Leave it alone and focus on getting our articles up to scratch.""",0,0,0,0,0,0,0.8586443
REDIRECT Talk:Vanda 'Miss Joaquim',0,0,0,0,0,0,0.44671544
You are such a cracker.,1,0,0,0,0,0,0.73986757
nice try! Raheem Kassam you are a sad individual,1,0,0,0,1,0,0.80136144
"I don't think I was talking to you, was I? I was talking to the person who blocked me. Now fuck off, you worthless cunt.",1,0,1,0,1,0,0.8382556
"Shared IP Unblock 

One of my students just received the message informing us of the unblock.  I would like to thank you for taking the time to review the request that I sent in.  I can assure you that nothing like this will happen in the future, as I've made sure that the students responsible have learned their lesson.  Again, thank you very much for your time.  Sincerely, Mrs. Dawn Booher",0,0,0,0,0,0,0.70269275
This clown is a fucking faggot that doesn't know his dick from his pussy.  He deletes others pages on a fucking whim.  Yours is proof of it,1,0,1,0,1,0,0.88735557
"""

  good job u nazi dick sucker 

  nazi dick sucker u have sucked the most nazi dick and i think u deserve an award for it u stinkin ass jew. block me i dont care i have more accounts u slutbag i dont have to do shit u say u jewish cunt.   """,1,0,1,0,1,1,0.77090716
"guess what ==

your retarded

==",1,0,0,0,1,0,0.6300442
"Where are your sources? Or proofs? Did you go on kabam forum and got response from their team? If not, why you havent? Youve been here reverting my changes for a week.

You had a hunch that smth changed. Thats it. And you allow yourself to change this article. NOT WRITE IT, CHANGE IT. So there are 2 editors who said they are playable, and you as 1 person are still right.
In a mean time, before i managed to reply you, smbdy else already changed hawkeye and spideman back. So, now there are 3 of us. Will you change it again?

Furthermore, you asked me to give you a proof, and i posted an ss. Now you are questioning validity of that, and my candour with it. Then why you bothered to ask me in a first place?! Because you are bored? Im not. Really am not.
And there are not more of you, there is only you. I am not explaining this to other readers or editors, nobody in this argument but you and me. There are other ppl editing this, they wouldve joined so far if they wanted. Stop using plural. 
Is hulk a bot in this picture?! Really?! Have you even played the game? And when you 'did' play, how many times your champ was on the right side in the battle?? Try to think before coming after someones integrity. Or just try to think. Anyplace. Anytime.

No, that is not my spiderman. Like a reasonable, logical being, after i seen that someone changed this article here, i asked my ally if they have one of the champs, and if they could try to play 1v1 with them. Only few people didnt sell those 1*s in my ally, but luckily one of them few had 2 of those and he sent me ss, which i posted here.
But being an awesome mate and even better human being, even i asked for only one ss, he sent me few of them ss1  ss2 ss3  ss4, apologized for late wolverine ss, and asked if i needed it better. I said no, cause i thought im dealing with a normal person. Honest mistake.

Ive done my elaborations. With even one ss, your whole theory falls, i really dont have to prove the others. That Thor i never seen, never heard about him, so i think its normal i never mentioned it, nor have i ever changed anything about him. Do try to contact kabam about that as well.

Now, im done writing to you. If you gonna ask for another ss, to prove every champ you think doesnt exist, exists, then you know where you can go.
I think ive proven more than i need, especially since i had to prove innocence in a first place. Meanwhile, ill keep changing it until i get blocked. Then im done with editing ever, ill die of heart attack before 40.
Auf wiedersehen, my french friend, hope you have a very lucky, lucky life.",0,0,0,0,0,0,0.81466174
~I heard that Dick Gephardt was actually president in 1988 but that the Miami Dolphins made us all forget during a mass hypnosis. 68.0.119.139,0,0,0,0,0,0,0.78256226
"""

 Citations from NLA Trove 

Hello Kerry! You have visited a number of articles initiated by me, and done some useful housekeeping by converting citations based on NLA Trove to a persistent URL. For example - see this diff. I'm not fully aware of the significance of these changes, nor am I capable of using WP:AWB. The following articles were also initiated by me, contain many citations of NLA Trove, but have not been up-dated with the persistent URL:
VH-RMI
VH-RMQ
VH-TVC
I would be grateful if you would visit these three articles and work your magic. Many thanks.  (t) """,0,0,0,0,0,0,0.67477834
"High-yield debt 
 Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.   ☎",0,0,0,0,0,0,0.7703452
"""
Isn't the point that religious sources on a religious subject are, ehm, biased? talk """,0,0,0,0,0,0,0.7130853
"YOU NEED SUM PUSSY GO PAY A GIRL SHE WILL TAKE CARE OF YOU, I SAY THIS BECUASE MOST PPL HERE ARE DORKS AND VIRGINS THATS NEVER EVEN TOUCHED THE A FEMALE",1,0,0,0,0,0,0.62559247
"This is Spitfire 

I'm a giant douche, that's why I monitor Wikipedia 24/7. I've never been laid and live in my mommy's basement, even though I'm 48 years old. To all the ladies, please give me a chance.... even though my penis is only 2 inches long.",0,0,1,0,0,0,0.82384527
I'm sorry that you feel this way.,0,0,0,0,0,0,0.7336681
"Juergen Klinsmann 

He represents the USA...  
http://en.wikipedia.org/wiki/Juergen_Klinsmann

He has a USA passport.
Why is he listed as a German???

You're robbing us all of the fact that Julian Green grew up almost exclusively in Germany and denying that.  That's factually inaccurate and it should be pointed out that he's an American-German.  What's right is right.  What's accurate is accurate.  Don't be a wanker.",1,0,0,0,1,0,0.7353246
"""::: However, we could clearly mention something about Dick Cheny being a constant """"joke"""" on shows like the Daily Show. Including a man sized safe in his office and assassin squads... Wait, who are you? What are you doing... NO!!! *BLAM BLAM* AARRRRRRGH 213.141.89.20  

""",0,0,0,0,0,0,0.8166757
"""

 Please Help There are Stalkers monitoring the Stalking Page - 

Stalkers Have found their way to this Page*-they have posted the Garbage (you can see by lack of flow abruptness, etc.. edit and delete all else
You can tell that it is not proper-it matches nothing* very choppy splicing and no flow.  Most """"Stalkers"""" do the -not-intilectual approach-
Yes, the actual Wikipedia """"Stalking"""" page, has Stalkers on it. . ..   They seem to be actual sociopaths - and have added Garbage to slander - stalking victims. ..    

- by the way, these people are going to try to draw you out into a conversation using manipulation i.e. emotional etc . . .  Please do not allow that 0

I added a small paragraph, which I incidentally found on the """"Harassment"""" topic - and it is accepted on Wiki already- as it is used on that page - it completed and matched the entire flow of page-but it was deleted (vandalized) on the 24th. Please Help !  Stalkers Have found their way to this Page*
-they have posted the Garbage edit and delete all else""",0,0,0,0,0,0,0.83018434
